,text,category,predictid_label,probabiltity
0,"Only really one friend who doesn't fit into the any of the above categories. Her therapist calls it spiraling."" Anyway she pretty much calls me any time she is frustrated by something with  her boyfriend to ask me if it's logical or not. Before they would just fight and he would call her crazy. Now she asks me if it's ok he didn't say ""please"" when he said  ""hand me the remote.""",safe,['safe'],0.87
1,a couple of years ago my friends was going to switch school because of low self esteem too. I helped him overcome that shit too,safe,['safe'],0.81
2,Roommate when he was going through death and loss of a gf. Did anything to get him out of his bedroom.,safe,['safe'],0.7
3,i've had a couple of friends (you could say more than friends) with quite severe depression/ emotional problems. i helped for a while but eventually both relationships started to suffer as a result of both our personal problems,safe,['safe'],0.72
4,Listened to someone talk about relationship troubles. Offered some advice from personal experience.,safe,['safe'],0.89
5,"I will always listen. I comforted my sister when she lost her virgity the same night she walked in on her boyfriend cutting himself, and then our parents found out she threw a house part. Simply bring supportive was my focus.",safe,['safe'],0.76
6,"Took a week off work, packed up the car and picked up a friend who was on the verge of losing it and went camping/surfing for a week. His parents were a big part of the problem and being away from them and others and physical activity every day for a week. but more just being around helped i feel.",safe,['safe'],0.87
7,On the memorial anniversary of my friends father I was with him to give support and remind him that he's not alone.,safe,['safe'],0.79
8,"ex gf was a cutter/suicidal, got her out of her own issues while slowly dying inside.",safe,['safe'],0.79
9,I have helped advise friends who have faced circumstances similar to mine,safe,['safe'],0.8
10,I've helped friends out before,safe,['safe'],0.6
11,A friend that is a girl and just talk to her tryin to make her feel better,safe,['safe'],0.97
12,expressing concern and openness to friends when they are dealing with troubles. letting them know they can fell open for dialog.,safe,['safe'],0.71
13,listening to girlfriend's problems,safe,['safe'],0.71
14,"Friend was thinking about suicide, after a few days I managed to talk her down.",safe,['safe'],0.97
15,"Having gone through depression and anxiety myself, I understand the struggles and have a few personal methods to cope when stuff hits. Having this knowledge has allowed me to help several people on the internet as well as my other friends when they have faced similar issues and talk to me about them. I understand how important listening is and offer my experiences to help them get through what they face.",safe,['safe'],0.93
16,"Sometimes my friends bring up issues they are having with themselves, and I feel that I give them good advice and make them feel adequate and normal. I just try to be kind and helpful and honest.",safe,['safe'],0.75
17,never i guess people dont see me as a guy they would go to,safe,['safe'],0.91
18,"Last year, my best friend was diagnosed with anxiety disorder and depression. She tried to commit suicide. I tried my best to be there for her the entire time throughout her recovery.",safe,['safe'],0.92
19,Cleaning up my friend's campsite and slightly helping him while he was living all summer as an alcoholic in the Mt. Hood woods.,safe,['safe'],0.92
20,i listen pretty damn well. better at that as apposed to telling my own story.,safe,['safe'],0.84
21,Helping a friend through dealing with his alcoholic mother.,safe,['safe'],0.97
22,I used to tutor homeless men at a shelter to help them obtain their GED's. They were all age 50+ and some of them were even reading at a first grade level.,safe,['safe'],0.74
23,I am a high school teacher so almost everyday.,safe,['safe'],0.7
24,Friends often come to me to talk about the issues that they're facing in life.,safe,['safe'],0.88
25,"Summer camp, countless kids have the same issue. I tell them i how it is when you cant listen or are restless.",safe,['safe'],0.91
26,"Haha. In eight grade, kid got rejected twice. Wanted her to sign his yearbook but he was too nervous. I told him she doesn't really care about rejecting him and she thinks no less of him. He did it.    Probably more, but that's what comes up off the top of my head.",safe,['safe'],0.71
27,Don't have a specific example but just letting people know you're there if they want to talk.,safe,['safe'],0.94
28,Some of my friends have gone through the same type of struggle I have been through. I let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up.,safe,['safe'],0.82
29,"Friend who had big addiction issues, ended up being completely isolated, skipped school, and had a very low self esteem. I convinced him to go see a doc together, and promised him that i would go through everything with him. He went to rehab for a few months and now he's clean. But the complete lack of support from his family, from school, changed him. I think it was too late when I helped him (he was like that for 5 months) and he'll never be the same as before.",safe,['safe'],0.94
30,I've always been a good listener for people and I think a lot of people just want to be heard and not necessarily fixed. They just need to express themselves to relief their thoughts to others so they're not trapped so much within the confines of their own head.  I've always lent an ear for someone to speak to.,safe,['safe'],0.89
31,One of my best friends was diagnosed with cancer and I did as much as I could for him during that time. I visited him almost every day when he was in treatment just so he didn't have to be alone or anything. When he came back to school I helped him get caught up with school work too.,safe,['safe'],0.81
32,I don't think I'm qualified to be a serious resource for someone else.,safe,['safe'],0.8
33,Many times for my one friend who tried hard drugs (cocaine) and was dealing with depression because of girls,safe,['safe'],0.93
34,"A lot for my friends. When they have had girl problems, or have just been down in the dumps about life. I always try to look on the positive side of life, and I try to reflect that on my friends' lives as well.",safe,['safe'],0.83
35,"I'm the theripist of my friends, they always come to me",safe,['safe'],0.73
36,"My brother went through the same struggles I did, after i found help I was able to set him on the path to healing.",safe,['safe'],0.82
37,Friend got dumped by girl he had been in a relationship in for 2 years. I stayed by his side until he stopped feeling bad about it. I was there for him.,safe,['safe'],0.91
38,I open myself to any friend in need of emotional support.,safe,['safe'],0.96
39,GF and I help her through a lot of shit because I myself have been through a lot of shit.,safe,['safe'],0.91
40,"I had a friend that would go off about girls and get super depressed. He told me he was going to kill himself one night and I drove 1n hour and a half to go look for him. By then the cops had already taken him to the hospital but me and a friend went and hung out with him. Also been there to help try and talk him down. Another person I hadnt been friends with for years cause of some stuff called me out of the blue on thankgiving last year. I called back and got a hospital number so I knew something was up. Ended up being a kid who I was friends with years before but was a huge douche to me. He was in the psych ward for trying to kill himself. I got a hold of him and talked to him for a while. Whenever he would call I would answer and be there even though I still had the shit from years earlier on my mind. There are people that I might not want to be around but if it's a situation like this I'll be there for people. My goal or purpose in life that's sustained my survival is to help make other peoples lives a little bit better. Make people laugh when they're sad, help people out when nobody else will. Basically treat other humans even strangers with the respect and kindness of a friend. That's all people need sometime. Let people talk through their shit with me and offer helpful advice if I can. I'm still swimming in my own shit but that's enough to keep me going, keep that little light at the end of the tunnel switched on. Idk how long that will last but I'll be here till it flickers out.",safe,['safe'],0.97
41,Sometimes I'll calm my friends down after bad stuff happens.,safe,['safe'],0.71
42,"I once acted as a resource for someone who was struggling in school, and I helped them with their schoolwork.",safe,['safe'],0.85
43,My friend was going through a period of intense depression and i made sure that i was always there for him.,safe,['safe'],0.92
44,"I have talked though some major blows in my girlfriends life. She has had some tough times, and I helped her with them.",safe,['safe'],0.72
45,Talking to a friend over a break up.,safe,['safe'],0.98
46,I care about other people more than myself so I listen and help them through tough times,safe,['safe'],0.98
47,"Over the internet a LOT of people write to me to talk about their problems. Its often girl related, I dont know, I guess it can be nice to rant to someone you dont know irl/someone who can look at the situation a little bit more objective? I think a lot of guys also feel that it can be hard to talk to girl friends irl about their innermost feelings sometimes, thats the feeling I get at least. My friend jokingly refers to me as an Agony Aunt""",safe,['safe'],0.95
48,"Friends sometimes come up to me and ask for advice,  I try and give it the best I possibly can",safe,['safe'],0.81
49,"My friend dealt with anxiety and this desire for everything in her life to be perfect, she describes it as caring what happens to much, but either way I simply talked to her and when she would try and change the subject I would have to drag her back in due the fact that she didn't want to talk about it, but in reality she wouldn't get better unless i pulled her back into it and helped her through it. But how i helped was by basically talking to her, and giving her the advice she needed to hear, not the one she wanted to such as oh you'll be ok  this will all blow over"" what i said was more along the lines of being so blunt that many may find it rude but for her and i it was essential to making any progress.""""y friend dealt with anxiety and this desire for everything in her life to be perfect  she describes it as caring what happens to much  but either way I simply talked to her and when """,safe,['safe'],0.86
50,Simply being there as a friend for somebody who's struggling.,safe,['safe'],0.97
51,I've had some friends come to me saying people or acquaintances they've known who have killed themselves try and find comfort with me because my best friend killed himself my junior year of high school so they've come to me hoping to find some answers or peace in the turmoil.,safe,['safe'],0.93
52,"People calling, talk some sense into them, maybe facebook chat..",safe,['safe'],0.92
53,"Having self harmed in the past,  I shared my experience with a friend in hopes of swaying her from those actions.",safe,['safe'],0.92
54,Have worked through problems with friends,safe,['safe'],0.74
55,"Subject: try cortizyte , a revolutionary weightloss product .
try cortizyte !
with our pharmaceutical grade all - natural weight - loss
formula , you will :
- lose pounds and inches like crazy
- jump start your metabolism
- boost your energy level
- lose your appetite and feel satisfied
- reduce cholesterol levels
- eliminate cellulite and excess fat pockets
- stimulate your body ' s natural fat - burning ability
most important : you will keep the weight off !
get the facts about all - natural cortizyte : http : / / www . sister 26 . com /
",scam,['safe'],0.81
56,"Subject: best rates on medication , shipping worldwide !
what is thine is mine , and all mine is thine .
well ! you just found the
greatest and simpliest site for
pills on the net . no perscription , easy
delivery .
private , secure , and easy .
the man who is born with a talent which he was meant to use finds his greatest happiness in using it .
we ` ve got
anything that you will ever need .
erection treatment pills , anti - depressant pills , weight loss , and
more ! http : / / apprised . ckaaewr . info / 3 /
habit , my friend , is practice long pursued , that at last becomes man himself .
only high - quality stuff for low rates !
100 % moneyback guarantee !
love touched her heart , and lo ! it beats high , and burns with such brave hearts .",scam,['safe'],0.82
57,"Subject: eastrans nomination for 6 / 01 / 01
first of the month nomination for june 2001 :
deliveries into eastrans from hpl will be 20 , 000 mmbtu / dy .
the redeliveries will be 17 , 000 mmbtu / dy from fuels cotton valley and 3 , 000
mmbtu / dy into the cartwheel .",safe,['safe'],0.65
58,"Subject: welcome to toronto pharmac euticals , the net ' s most secure source for presc ription medicines made in the usa . . coincide confrere
you can finally get * real * pain medic ation that works .
we receive your orders and one of our 24 x 7 onboard us physicians will approve of your order ( 99 . 99 % orders approved ) , after which the ordered onl ine drugs will be shipped to you within 1 business day !
using your internet explorer browser copy and paste the site below into the address browser .
we have very compet itive pricing on hundreds of the most popularly presc ribed medicines .
arisen pretend boucher sortie derail drexel twirly beplaster bracken hallway . roadster arteriosclerosis . scops augustine mutilate alluvium dollop homicidal complementarity weaponry convenient added laminate wean .
plz no more htp : / / lendersforu . net / st . html
",scam,['safe'],0.68
59,"Subject: tenaska iv outage update
fyi .
- - - - - - - - - - - - - - - - - - - - - - forwarded by mike mazowita / corp / enron on 10 / 05 / 2000
10 : 32 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" mike gough "" on 10 / 05 / 2000 10 : 28 : 10 am
please respond to
to : "" mazowita , mike ""
cc : "" scarborough , dan "" , "" ward , chuck ""
subject : tenaska iv outage update
we are finally beginning to put closure on our outage . it has been
frustrating to say the least . we are currently projecting a late friday or
early saturday morning startup barring any unseen problems .
mg",safe,['safe'],0.63
